country,code,life,GDP
Afghanistan,AFG,41.86753659,275.6498281
Arab World,ARB,58.49836865,2053.517705
United Arab Emirates,ARE,67.98319512,42878.85438
Argentina,ARG,69.5144878,2738.284626
Antigua and Barbuda,ATG,68.59197561,1565.648635
Australia,AUS,74.33365854,10186.12824
Austria,AUT,72.46341463,10843.36172
Burundi,BDI,47.26282927,222.8806155
Belgium,BEL,73.20707317,12932.87283
Benin,BEN,47.23458537,377.956636
Burkina Faso,BFA,45.99756098,282.6857855
Bangladesh,BGD,53.48804878,222.9242646
Bulgaria,BGR,71.15756098,2261.417233
Bahrain,BHR,69.77865854,8537.597542
"Bahamas, The",BHS,68.45860976,6338.649957
Belize,BLZ,69.56636585,1351.013867
Bermuda,BMU,72.30463415,11218.21782
Bolivia,BOL,50.00414634,811.7773315
Brazil,BRA,62.02029268,1923.282615
Barbados,BRB,68.57736585,4013.848582
Brunei Darussalam,BRN,70.32965854,25530.41308
Bhutan,BTN,44.96170732,328.8078494
Botswana,BWA,60.54436585,1064.796443
Central African Republic,CAF,48.87258537,350.4902816
Canada,CAN,75.07804878,11135.43799
Switzerland,CHE,75.45926829,18785.03644
Chile,CHL,67.93134146,2454.288156
China,CHN,66.5215122,193.2768322
Cote d'Ivoire,CIV,50.70907317,1231.087928
Cameroon,CMR,51.20702439,754.6648207
"Congo, Rep.",COG,56.09087805,946.7770499
Colombia,COL,65.47817073,1204.154102
Comoros,COM,50.596,400.319143
Cabo Verde,CPV,60.58497561,498.0650336
Costa Rica,CRI,72.13019512,2022.110649
Caribbean small states,CSS,68.33016312,2447.787634
Cuba,CUB,73.8317561,2024.660035
Cyprus,CYP,74.75680488,4232.022939
Germany,DEU,72.67790244,12092.38185
Denmark,DNK,74.10170732,13833.12352
Dominican Republic,DOM,63.03568293,1141.451328
Algeria,DZA,58.16402439,2189.775719
East Asia & Pacific (excluding high income),EAP,64.99937871,279.2369411
Early-demographic dividend,EAR,56.31082347,818.9107748
East Asia & Pacific,EAS,66.07803515,1157.619722
Europe & Central Asia,ECS,70.20455446,5727.719706
Ecuador,ECU,63.09219512,2241.788882
"Egypt, Arab Rep.",EGY,58.31582927,528.3084445
Euro area,EMU,73.52758225,9780.640681
Spain,ESP,75.34926829,6200.33627
European Union,EUU,72.862703,8313.378331
Finland,FIN,73.44,11232.27456
Fiji,FJI,63.00863415,1893.043685
France,FRA,74.05121951,12712.6014
Gabon,GAB,54.94690244,5869.231153
United Kingdom,GBR,73.67560976,10032.06208
Ghana,GHA,52.27178049,411.5180309
"Gambia, The",GMB,46.35095122,398.8952297
Guinea-Bissau,GNB,45.53860976,130.1984392
Equatorial Guinea,GNQ,43.75921951,229.5636127
Greece,GRC,73.64714634,5893.66181
Grenada,GRD,66.36965854,939.4500622
Greenland,GRL,63.4497561,9483.102968
Guatemala,GTM,57.2014878,1106.77226
Guyana,GUY,62.64360976,766.8309997
High income,HIC,73.16646222,9539.619382
"Hong Kong SAR, China",HKG,74.67317073,5700.412634
Honduras,HND,59.61212195,705.7473716
Heavily indebted poor countries (HIPC),HPC,47.38453871,363.4117786
IBRD only,IBD,62.10578708,755.3400929
IDA & IBRD total,IBT,60.12198021,684.3940419
IDA total,IDA,52.18227266,418.3974607
IDA blend,IDB,56.80347732,571.3543053
Indonesia,IDN,59.60990244,528.9376395
IDA only,IDX,49.32303253,323.244667
India,IND,53.87470732,271.9248895
Ireland,IRL,72.54936585,6379.597213
"Iran, Islamic Rep.",IRN,54.64043902,2440.305624
Iraq,IRQ,60.38070732,3911.54243
Iceland,ISL,76.84658537,14942.814
Israel,ISR,73.87560976,5616.54684
Italy,ITA,73.94317073,8429.023181
Jamaica,JAM,71.44629268,1256.15536
Jordan,JOR,66.23129268,1714.280812
Japan,JPN,76.09170732,9307.839295
Kenya,KEN,57.83363415,446.6042115
Kiribati,KIR,56.89521951,470.7709806
"Korea, Rep.",KOR,65.80926829,1778.48024
Kuwait,KWT,69.7434878,20687.71252
Latin America & Caribbean (excluding high income),LAC,63.99892,2055.831121
Liberia,LBR,46.02207317,451.623991
St. Lucia,LCA,68.78195122,1130.787331
Latin America & Caribbean,LCN,64.27524897,2120.882615
Sri Lanka,LKA,68.30936585,272.9112294
Lower middle income,LMC,55.96232161,429.6727424
Low & middle income,LMY,60.03788115,668.357952
Lesotho,LSO,53.66831707,330.0905509
Late-demographic dividend,LTE,66.25879983,752.7088202
Luxembourg,LUX,72.07260976,17284.42187
Morocco,MAR,57.51280488,1074.4703
Madagascar,MDG,49.0307561,462.142858
Maldives,MDV,53.03312195,268.2779859
Middle East & North Africa,MEA,58.87197177,2156.692481
Mexico,MEX,66.56021951,2803.318841
Middle income,MIC,61.02021515,700.1362746
Mali,MLI,39.61314634,248.1890211
Malta,MLT,72.93243902,3948.267165
Mozambique,MOZ,41.8955122,295.4212352
Mauritania,MRT,54.24243902,462.191764
Mauritius,MUS,66.96539024,1176.49933
Malawi,MWI,44.74031707,200.8140327
Malaysia,MYS,68.06053659,1770.167447
North America,NAC,73.7528378,12454.59512
Namibia,NAM,57.68295122,2404.100748
New Caledonia,NCL,66.5695122,8443.107052
Niger,NER,39.40382927,420.6704392
Nigeria,NGA,45.54780488,871.145818
Nicaragua,NIC,58.49709756,659.8028888
Netherlands,NLD,75.74317073,13615.83707
Norway,NOR,75.67170732,15772.24091
Nepal,NPL,46.51180488,130.6854351
New Zealand,NZL,72.82926829,7467.478059
OECD members,OED,72.24536943,8860.528853
Oman,OMN,59.73,5181.817158
Other small states,OSS,58.91263043,2728.364381
Pakistan,PAK,57.0372439,303.4340421
Panama,PAN,70.26817073,2039.047345
Peru,PER,60.06363415,1017.079971
Philippines,PHL,62.1547561,684.6513918
Papua New Guinea,PNG,52.88370732,791.78867
Pre-demographic dividend,PRE,47.54047748,335.2123525
Puerto Rico,PRI,73.70229268,4502.838428
Portugal,PRT,71.21463415,3368.69837
Paraguay,PRY,66.77109756,1287.422009
Pacific island small states,PSS,61.74576464,1350.951498
Post-demographic dividend,PST,73.26385972,9358.658388
French Polynesia,PYF,64.70556098,8979.126997
Qatar,QAT,72.79165854,34995.84058
Rwanda,RWA,47.98839024,244.080505
South Asia,SAS,54.04828756,265.3521857
Saudi Arabia,SAU,63.10465854,16598.72044
Sudan,SDN,54.24112195,398.4041117
Senegal,SEN,48.9427561,629.1079908
Singapore,SGP,72.1902439,4927.048493
Solomon Islands,SLB,58.89073171,731.591981
Sierra Leone,SLE,40.6502439,356.6238029
El Salvador,SLV,56.52992683,780.7355599
Sub-Saharan Africa (excluding high income),SSA,48.16079264,699.846184
Sub-Saharan Africa,SSF,48.16079264,700.07917
Small states,SST,61.59143764,2562.646368
Suriname,SUR,65.94043902,2191.153243
Sweden,SWE,75.74097561,16856.76109
Swaziland,SWZ,54.22634146,898.2958686
Syrian Arab Republic,SYR,65.81682927,1458.485206
Chad,TCD,44.67497561,228.9052354
East Asia & Pacific (IDA & IBRD countries),TEA,64.98972365,282.3171639
Togo,TGO,52.30441463,417.6687675
Thailand,THA,64.44643902,682.7749836
Latin America & the Caribbean (IDA & IBRD countries),TLA,63.91171506,2092.709
Tonga,TON,67.55,572.6459023
South Asia (IDA & IBRD),TSA,54.04828756,265.3521857
Sub-Saharan Africa (IDA & IBRD countries),TSS,48.16079264,700.07917
Trinidad and Tobago,TTO,67.06268293,5745.680568
Tunisia,TUN,62.0245122,1369.526112
Turkey,TUR,58.69158537,1566.747565
Uganda,UGA,49.18278049,99.18986298
Upper middle income,UMC,65.40221101,932.1603524
Uruguay,URY,70.28629268,3485.529616
United States,USA,73.6097561,12597.66751
St. Vincent and the Grenadines,VCT,67.37641463,819.2578739
"Venezuela, RB",VEN,68.174,4375.357535
Virgin Islands (U.S.),VIR,71.42519512,7503.092784
Vanuatu,VUT,58.54270732,980.880897
World,WLD,62.80066658,2514.030615
South Africa,ZAF,56.97307317,2920.90924
Zambia,ZMB,51.49919512,655.1197941
Zimbabwe,ZWE,59.38802439,916.2837356
