country,code,life,GDP
Aruba,ABW,73.38997561,20619.56585
Angola,AGO,41.13834146,606.2722922
Albania,ALB,71.95731707,1175.788981
Arab World,ARB,64.4487757,2608.885949
United Arab Emirates,ARE,71.72014634,34207.53895
Argentina,ARG,71.54365854,7669.273709
Armenia,ARM,67.74780488,621.4248263
Antigua and Barbuda,ATG,71.16295122,10094.75906
Australia,AUS,76.99463415,21665.11545
Austria,AUT,75.56829268,24517.26745
Azerbaijan,AZE,64.74636585,655.0974326
Burundi,BDI,48.00012195,128.6355365
Belgium,BEL,76.05195122,23207.40591
Benin,BEN,53.42,369.7008681
Burkina Faso,BFA,49.36560976,226.8016078
Bangladesh,BGD,58.41756098,406.5317405
Bulgaria,BGR,71.64146341,1609.280586
Bahrain,BHR,72.5072439,13590.52105
"Bahamas, The",BHS,70.63065854,21241.16539
Bosnia and Herzegovina,BIH,70.78321951,1451.664002
Belarus,BLR,70.83658537,1273.049124
Belize,BLZ,71.28373171,3364.464523
Bolivia,BOL,55.10729268,1007.002869
Brazil,BRA,65.34031707,3728.50801
Barbados,BRB,71.17195122,11568.05194
Brunei Darussalam,BRN,73.05119512,18154.83493
Bhutan,BTN,52.46231707,778.391266
Botswana,BWA,62.55658537,3333.17955
Central African Republic,CAF,49.01756098,245.4343849
Canada,CAN,77.37707317,24124.16917
Central Europe and the Baltics,CEB,70.65636732,3943.594923
Switzerland,CHE,77.24243902,37813.23426
Channel Islands,CHI,75.4182439,43299.40114
Chile,CHL,72.67878049,5229.177098
China,CHN,69.0305122,954.5522917
Cote d'Ivoire,CIV,52.60692683,648.8107641
Cameroon,CMR,53.59126829,583.0948382
"Congo, Rep.",COG,55.02897561,1035.584462
Colombia,COL,68.29719512,2472.197776
Comoros,COM,56.65360976,372.1890023
Cabo Verde,CPV,65.5705122,1229.044456
Costa Rica,CRI,75.65868293,4062.322308
Caribbean small states,CSS,69.57310829,4989.630947
Cuba,CUB,74.64380488,2749.463492
Cyprus,CYP,76.51395122,14307.35353
Czech Republic,CZE,71.38390244,5994.528277
Germany,DEU,75.17736585,23718.7467
Djibouti,DJI,56.66317073,762.8838243
Denmark,DNK,74.80536585,30743.55917
Dominican Republic,DOM,67.95041463,2802.424044
Algeria,DZA,66.69458537,1757.011974
East Asia & Pacific (excluding high income),EAP,67.8956796,956.0317203
Early-demographic dividend,EAR,60.61007582,1327.810054
East Asia & Pacific,EAS,68.92980959,3976.563653
Europe & Central Asia (excluding high income),ECA,68.25626529,1762.041827
Europe & Central Asia,ECS,72.07460899,11512.89374
Ecuador,ECU,68.99536585,1451.290776
"Egypt, Arab Rep.",EGY,64.54907317,1461.018259
Euro area,EMU,75.89682735,20207.12303
Eritrea,ERI,48.23595122,199.8131951
Spain,ESP,76.83756098,14787.75606
Estonia,EST,69.47560976,4070.031904
Ethiopia,ETH,47.09956098,124.0509505
European Union,EUU,74.85923994,18074.83304
Fragile and conflict affected situations,FCS,55.08201688,668.1184207
Finland,FIN,74.81317073,24253.25042
Fiji,FJI,65.57085366,2076.013308
France,FRA,76.6,22465.64184
Faroe Islands,FRO,76.11463415,22850.44296
"Micronesia, Fed. Sts.",FSM,66.19758537,2170.960626
Gabon,GAB,61.24014634,4115.036784
United Kingdom,GBR,75.8804878,26400.65644
Georgia,GEO,69.99960976,691.9977101
Ghana,GHA,56.75163415,264.7025762
Guinea,GIN,49.91885366,340.414229
"Gambia, The",GMB,52.214,637.1055215
Guinea-Bissau,GNB,49.07631707,281.4036603
Equatorial Guinea,GNQ,48.18953659,1970.251229
Greece,GRC,76.93902439,12042.95373
Grenada,GRD,68.47502439,5117.539563
Greenland,GRL,65.06829268,19004.00345
Guatemala,GTM,62.23841463,1650.365959
Guyana,GUY,63.52317073,960.1867601
High income,HIC,75.39984052,25446.94658
"Hong Kong SAR, China",HKG,77.3804878,25756.66378
Honduras,HND,66.68904878,1138.147032
Heavily indebted poor countries (HIPC),HPC,49.58981921,327.0581437
Croatia,HRV,72.1704878,4919.628069
Haiti,HTI,54.56931707,462.4813299
Hungary,HUN,69.31560976,4619.528633
IBRD only,IBD,65.27706755,1476.239764
IDA & IBRD total,IBT,63.09692503,1226.869186
IDA total,IDA,55.08515732,402.6027237
IDA blend,IDB,58.72617366,506.93027
Indonesia,IDN,63.25990244,780.092079
IDA only,IDX,52.84862019,343.6641241
India,IND,57.94373171,452.4135847
Ireland,IRL,74.74131707,26236.3719
"Iran, Islamic Rep.",IRN,63.88287805,1664.26127
Iceland,ISL,78.03634146,31737.47061
Israel,ISR,76.60731707,21052.10432
Italy,ITA,76.97073171,20051.2426
Jamaica,JAM,72.01597561,3448.448874
Jordan,JOR,69.92085366,1774.088418
Japan,JPN,78.83682927,37299.64413
Kazakhstan,KAZ,68.33658537,1229.000958
Kenya,KEN,58.80204878,408.9818683
Kyrgyz Republic,KGZ,68.29756098,279.620275
Cambodia,KHM,53.51007317,299.5622376
Kiribati,KIR,60.35082927,799.8566112
"Korea, Rep.",KOR,71.2997561,11947.57725
Kosovo,KSV,67.74878049,1087.762401
Kuwait,KWT,72.28156098,19545.19345
Latin America & Caribbean (excluding high income),LAC,67.50868744,4132.332934
Lao PDR,LAO,53.55207317,324.0196947
Lebanon,LBN,70.22114634,5334.880244
Liberia,LBR,47.20243902,182.9427573
Libya,LBY,68.62990244,7170.379234
St. Lucia,LCA,71.04943902,4975.472098
Latin America & Caribbean,LCN,67.75792616,4301.296043
Least developed countries: UN classification,LDC,51.6590421,324.5589912
Low income,LIC,49.79366992,267.5357088
Sri Lanka,LKA,69.6794878,875.412178
Lower middle income,LMC,59.6152495,578.2835782
Low & middle income,LMY,63.03982044,1180.20321
Lesotho,LSO,59.33109756,415.5001187
Late-demographic dividend,LTE,68.86780275,1660.928548
Lithuania,LTU,71.16073171,3297.354701
Luxembourg,LUX,75.01041463,48992.31147
Latvia,LVA,69.27317073,3351.469058
"Macao SAR, China",MAC,75.27697561,14127.56667
Morocco,MAR,64.6804878,1328.172963
Moldova,MDA,67.46565854,354.001279
Madagascar,MDG,51.00809756,246.2826349
Maldives,MDV,61.4185122,2182.997011
Middle East & North Africa,MEA,65.79824927,3064.504394
Mexico,MEX,70.79573171,6649.716534
Middle income,MIC,64.11829989,1264.649593
"Macedonia, FYR",MKD,71.14763415,1875.127132
Mali,MLI,46.46470732,267.4164348
Malta,MLT,75.17578049,10377.03732
Middle East & North Africa (excluding high income),MNA,65.16551537,1621.864704
Montenegro,MNE,74.44336585,1627.042893
Mongolia,MNG,60.2677561,474.2129566
Mozambique,MOZ,43.12590244,274.6562556
Mauritania,MRT,58.35880488,477.1129881
Mauritius,MUS,69.40487805,3861.038543
Malawi,MWI,43.76602439,155.7643582
Malaysia,MYS,70.7574878,4004.557191
North America,NAC,75.43126468,35242.0642
Namibia,NAM,61.22495122,2059.409015
New Caledonia,NCL,70.48536585,12579.59511
Niger,NER,43.95119512,160.2183423
Nigeria,NGA,46.11026829,377.5002693
Nicaragua,NIC,64.135,1016.021552
Netherlands,NLD,76.87804878,25921.12794
Norway,NOR,76.53731707,38146.71539
Nepal,NPL,54.19473171,231.4329676
New Zealand,NZL,75.37804878,13641.10272
OECD members,OED,74.66476321,23436.05217
Oman,OMN,67.26773171,8710.987805
Other small states,OSS,62.37174271,4319.298926
Pakistan,PAK,60.11121951,534.915837
Panama,PAN,73.0462439,4062.392683
Peru,PER,65.53043902,1967.24321
Philippines,PHL,65.28807317,1039.701796
Palau,PLW,69.06926829,7786.586002
Papua New Guinea,PNG,55.70934146,655.2502302
Poland,POL,70.8902439,4492.727604
Pre-demographic dividend,PRE,49.46233501,383.3475825
Puerto Rico,PRI,74.16917073,16192.1296
Portugal,PRT,73.96585366,11502.39681
Paraguay,PRY,68.01260976,1545.625548
Pacific island small states,PSS,63.67853275,1772.558607
Post-demographic dividend,PST,75.46042293,25526.26547
French Polynesia,PYF,68.82860976,14530.22602
Qatar,QAT,75.11607317,29926.36335
Romania,ROU,69.74121951,1668.162731
