country,code,life,GDP
Afghanistan,AFG,60.37446341,633.9478643
Angola,AGO,52.26687805,5232.690501
Albania,ALB,77.83046341,4588.64944
Arab World,ARB,70.56790191,7478.997517
United Arab Emirates,ARE,77.36817073,43962.71369
Argentina,ARG,76.15860976,12324.93879
Armenia,ARM,74.67570732,3873.533566
Antigua and Barbuda,ATG,75.93763415,13432.07921
Australia,AUS,82.25121951,61995.8297
Austria,AUT,81.33658537,51148.35888
Azerbaijan,AZE,70.76321951,7886.459144
Burundi,BDI,56.69202439,286.0023359
Belgium,BEL,80.58780488,47299.86011
Benin,BEN,59.51058537,903.464924
Burkina Faso,BFA,58.58846341,713.4564416
Bangladesh,BGD,71.62590244,1086.800087
Bulgaria,BGR,75.40731707,7851.265428
Bahrain,BHR,76.68326829,24855.21564
"Bahamas, The",BHS,75.23365854,22217.49414
Bosnia and Herzegovina,BIH,76.4332439,4851.660528
Belarus,BLR,72.97560976,8025.304356
Belize,BLZ,70.07743902,4884.36862
Bolivia,BOL,68.344,3124.080762
Brazil,BRA,74.40187805,11728.79939
Barbados,BRB,75.49641463,15366.29261
Brunei Darussalam,BRN,78.80958537,40979.64194
Bhutan,BTN,69.4712439,2560.522132
Botswana,BWA,64.4292439,7153.444325
Central African Republic,CAF,50.65778049,351.994226
Canada,CAN,81.95660976,50185.4815
Central Europe and the Baltics,CEB,76.56332725,14084.05849
Switzerland,CHE,82.84878049,85610.84203
Chile,CHL,81.49619512,14566.14905
China,CHN,75.78226829,7587.289732
Cote d'Ivoire,CIV,51.55958537,1545.942249
Cameroon,CMR,55.4927561,1407.403413
"Congo, Rep.",COG,62.31114634,3147.071524
Colombia,COL,73.99314634,7918.0789
Comoros,COM,63.25685366,810.07576
Cabo Verde,CPV,73.147,3641.107656
Costa Rica,CRI,79.40270732,10415.45665
Caribbean small states,CSS,72.84469981,10171.00504
Cyprus,CYP,80.13156098,27245.74462
Czech Republic,CZE,78.27560976,19502.41733
Germany,DEU,80.84390244,47767.00191
Djibouti,DJI,62.0155122,1813.596226
Denmark,DNK,80.54878049,61330.91263
Dominican Republic,DOM,73.50002439,6147.343569
Algeria,DZA,74.80809756,5484.066806
East Asia & Pacific (excluding high income),EAP,73.98572304,6242.271322
Early-demographic dividend,EAR,69.03914207,3329.300179
East Asia & Pacific,EAS,74.92850744,9491.669345
Europe & Central Asia (excluding high income),ECA,71.89472566,9426.077553
Europe & Central Asia,ECS,76.89220421,25846.09719
Ecuador,ECU,75.8724878,6345.840725
"Egypt, Arab Rep.",EGY,71.12170732,3365.707421
Euro area,EMU,81.64866944,39594.64584
Spain,ESP,83.07804878,29718.50022
Estonia,EST,77.23902439,20147.77822
Ethiopia,ETH,64.03502439,573.5659603
European Union,EUU,80.67381364,36425.56595
Fragile and conflict affected situations,FCS,61.7210708,1643.528008
Finland,FIN,81.12926829,49864.57625
Fiji,FJI,70.08912195,5112.38189
France,FRA,82.37317073,42546.83879
"Micronesia, Fed. Sts.",FSM,69.10107317,3057.091025
Gabon,GAB,64.38339024,10772.06175
United Kingdom,GBR,81.05609756,46278.52021
Georgia,GEO,74.66863415,4429.650075
Ghana,GHA,61.31163415,1441.636453
Guinea,GIN,58.73343902,539.615775
"Gambia, The",GMB,60.22843902,441.293817
